Chr	Median.cov.chr	Norm.global.coverage	Sample
1	132	1.00763358778626	F_Oaxaca_USMA_PopGen_JYD
2	133	1.01526717557252	F_Oaxaca_USMA_PopGen_JYD
3	133	1.01526717557252	F_Oaxaca_USMA_PopGen_JYD
4	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
5	132	1.00763358778626	F_Oaxaca_USMA_PopGen_JYD
6	131	1	F_Oaxaca_USMA_PopGen_JYD
7	131	1	F_Oaxaca_USMA_PopGen_JYD
8	129	0.984732824427481	F_Oaxaca_USMA_PopGen_JYD
9	131	1	F_Oaxaca_USMA_PopGen_JYD
10	130	0.99236641221374	F_Oaxaca_USMA_PopGen_JYD
11	129	0.984732824427481	F_Oaxaca_USMA_PopGen_JYD
12	130	0.99236641221374	F_Oaxaca_USMA_PopGen_JYD
13	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
14	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
15	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
16	153	1.16793893129771	F_Oaxaca_USMA_PopGen_JYD
17	129	0.984732824427481	F_Oaxaca_USMA_PopGen_JYD
18	129	0.984732824427481	F_Oaxaca_USMA_PopGen_JYD
19	130	0.99236641221374	F_Oaxaca_USMA_PopGen_JYD
20	132	1.00763358778626	F_Oaxaca_USMA_PopGen_JYD
21	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
22	126	0.961832061068702	F_Oaxaca_USMA_PopGen_JYD
23	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
24	5711	43.5954198473282	F_Oaxaca_USMA_PopGen_JYD
25	128	0.977099236641221	F_Oaxaca_USMA_PopGen_JYD
26	123	0.938931297709924	F_Oaxaca_USMA_PopGen_JYD
27	118	0.900763358778626	F_Oaxaca_USMA_PopGen_JYD
28	1	0.00763358778625954	F_Oaxaca_USMA_PopGen_JYD
